GENESIS-Tabelle: 46241-06i
Anzahl der Unf‰lle nach Ortslage - Land - Monat;;;;;
Statistik der Straﬂenverkehrsunf‰lle;;;;;
Nordrhein-Westfalen;;;;;
;;Unf‰lle (polizeilich erfaﬂte);Unf‰lle (polizeilich erfaﬂte);Unf‰lle (polizeilich erfaﬂte);Unf‰lle (polizeilich erfaﬂte)
;;Ortslage;Ortslage;Ortslage;Ortslage
;;Insgesamt;innerorts;auﬂerorts (ohne Autobahnen);auf Autobahnen
;;Anzahl;Anzahl;Anzahl;Anzahl
2011;Oktober;7952;5879;1471;602
2011;November;6858;5118;1256;484
2011;Dezember;7187;5170;1348;669
2011;Insgesamt;82615;60947;15210;6458
2010;Januar;5572;3546;1201;825
2010;Februar;5128;3418;1058;652
2010;M‰rz;5935;4249;1132;554
2010;April;6455;4823;1181;451
2010;Mai;6866;5033;1308;525
2010;Juni;7673;5829;1345;499
2010;Juli;7817;5833;1392;592
2010;August;6820;4768;1358;694
2010;September;7556;5595;1383;578
2010;Oktober;7497;5496;1397;604
2010;November;7411;5356;1328;727
2010;Dezember;5832;3542;1159;1131
2010;Insgesamt;80562;57488;15242;7832
2009;Januar;6324;4410;1281;633
2009;Februar;5536;3937;1066;533
2009;M‰rz;6636;4829;1219;588
2009;April;7217;5384;1285;548
2009;Mai;7770;5897;1389;484
2009;Juni;7586;5562;1374;650
2009;Juli;7301;5268;1384;649
2009;August;8111;6028;1525;558
2009;September;8049;6023;1487;539
2009;Oktober;7560;5470;1398;692
2009;November;7620;5619;1361;640
2009;Dezember;7017;4901;1317;799
2009;Insgesamt;86727;63328;16086;7313
2008;Januar;6930;5076;1307;547
2008;Februar;6378;4654;1198;526
2008;M‰rz;6630;4640;1271;719
2008;April;7248;5339;1354;555
2008;Mai;8397;6328;1537;532
2008;Juni;8176;6227;1428;521
2008;Juli;7001;5071;1331;599
2008;August;7893;5834;1510;549
2008;September;8046;6034;1469;543
2008;Oktober;8046;5921;1478;647
2008;November;7450;5471;1342;637
2008;Dezember;7196;5233;1359;604
2008;Insgesamt;89391;65828;16584;6979
2007;Januar;7221;5225;1377;619
2007;Februar;6535;4759;1272;504
2007;M‰rz;7862;5744;1445;673
2007;April;8127;6063;1544;520
2007;Mai;8765;6448;1600;717
2007;Juni;8227;5987;1533;707
2007;Juli;7414;5299;1453;662
2007;August;8811;6423;1648;740
2007;September;8031;5862;1532;637
2007;Oktober;8182;6066;1543;573
2007;November;7971;5837;1496;638
2007;Dezember;7589;5508;1475;606
2007;Insgesamt;94735;69221;17918;7596
2006;Januar;6629;4659;1400;570
2006;Februar;6269;4256;1379;634
2006;M‰rz;6577;4593;1311;673
2006;April;6598;4687;1287;624
2006;Mai;8521;6260;1517;744
2006;Juni;7878;5834;1505;539
2006;Juli;7437;5381;1482;574
2006;August;8264;5997;1551;716
2006;September;8535;6313;1644;578
2006;Oktober;8362;6076;1644;642
2006;November;8433;6121;1618;694
2006;Dezember;7578;5525;1451;602
2006;Insgesamt;91081;65702;17789;7590
2005;Januar;7049;4970;1497;582
2005;Februar;6434;4278;1283;873
2005;M‰rz;6614;4655;1338;621
2005;April;7729;5643;1486;600
2005;Mai;8253;5992;1604;657
2005;Juni;8959;6582;1677;700
2005;Juli;7958;5647;1630;681
2005;August;8072;5683;1618;771
2005;September;8646;6446;1605;595
2005;Oktober;8812;6303;1754;755
2005;November;7673;5440;1584;649
2005;Dezember;7598;5311;1556;731
2005;Insgesamt;93797;66950;18632;8215
2004;Januar;7134;4713;1616;805
2004;Februar;6468;4258;1512;698
2004;M‰rz;7097;4887;1545;665
2004;April;7417;5169;1539;709
2004;Mai;8331;5858;1816;657
2004;Juni;8489;6012;1715;762
2004;Juli;9106;6281;2018;807
2004;August;7890;5405;1744;741
2004;September;9038;6361;1914;763
2004;Oktober;8109;5729;1718;662
2004;November;8741;6163;1727;851
2004;Dezember;8128;5709;1724;695
2004;Insgesamt;95948;66545;20588;8815
2003;Januar;7514;4954;1719;841
2003;Februar;6325;4313;1413;599
2003;M‰rz;7322;5039;1627;656
2003;April;7743;5249;1809;685
2003;Mai;8929;6195;1989;745
2003;Juni;9018;6300;2000;718
2003;Juli;9584;6746;2148;690
2003;August;7826;5282;1876;668
2003;September;8494;5917;1893;684
2003;Oktober;8595;5869;1885;841
2003;November;8183;5616;1825;742
2003;Dezember;7701;5265;1712;724
2003;Insgesamt;97234;66745;21896;8593
2002;Januar;6936;4728;1523;685
2002;Februar;7480;4725;1780;975
2002;M‰rz;7671;5095;1759;817
2002;April;8263;5627;1882;754
2002;Mai;8544;5955;1857;732
2002;Juni;9177;6387;2005;785
2002;Juli;8721;5859;2019;843
2002;August;7964;5261;1877;826
2002;September;8974;6160;2051;763
2002;Oktober;8821;6009;1919;893
2002;November;8747;5881;2001;865
2002;Dezember;7696;5263;1658;775
2002;Insgesamt;98994;66950;22331;9713
2001;Januar;7811;5036;1946;829
2001;Februar;7035;4598;1598;839
2001;M‰rz;7722;5107;1788;827
2001;April;7660;5015;1782;863
2001;Mai;9200;6489;2011;700
2001;Juni;9261;6303;2046;912
2001;Juli;8630;5835;1998;797
2001;August;9094;6251;2075;768
2001;September;9319;6130;2156;1033
2001;Oktober;8960;6016;2030;914
2001;November;9642;6560;2137;945
2001;Dezember;8455;5446;1964;1045
2001;Insgesamt;102789;68786;23531;10472
2000;Januar;7742;5028;1937;777
2000;Februar;7829;5150;1896;783
2000;M‰rz;8318;5577;1874;867
2000;April;8248;5503;1900;845
